OBJECTID_1,Join_Count,TARGET_FID,area,count,lng,lat,NEAR_FID,NEAR_DIST,FID_1,OBJECTID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,分类,Shape_Leng,ori_label,CATEGORY,IDS,NUMS,SUBTYPE,OBJECTID_12,Label,Topic,Doc_ID,BertIds,labels
1,1,1,雄楚大道公安厅门前辅道（石牌岭西路至丁字桥螺口方向）,1,114.328135553000000,30.533127927199999,3116,0.000293889266905,3116,3485,231521436,5114,secondary,丁字桥路, ,F,0,0.000000000000000,F,F,城市主干道,345.270165147999990,889,诊所 公共停车场 路边停车场 生活服务场所 临街院门 旅馆招待所 中餐厅 公共停车场 餐饮相关 临街院门 临街院门 公交车站相关 路边停车场 住宅区 维修站点 维修站点 路边停车场 生活服务场,629,988,诊所 停车场 停车场 生活服务场所 临街院门 旅馆招待所 中餐厅 停车场 餐饮相关场所 临街院门 临街院门 公交车站 停车场 住宅区 维修站点 维修站点 停车场 生活服务场所 中餐厅 临街院门 便,1,889,-1,629,629,-1
2,1,2,东湖景园路段,10,114.369575369000000,30.584306978000001,5529,0.001542689850460,5529,6268,456583419,5114,secondary, , ,F,0,0.000000000000000,F,F,城市主干道,1187.181641650000100,1508,美容美发店 美容美发店 宿舍 路边停车场 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 中餐厅 专科医院 医疗保健服务场所 建筑物门 三级甲等医院 医疗保健服务场所 自动提款机 公共停车场 急救,1201,175,美容美发店 美容美发店 住宅区 停车场 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 中餐厅 专科医院 医疗保健服务场所 建筑物门 综合医院 医疗保健服务场所 自动提款机 停车,2,1508,6,1201,1201,6
3,1,3,汉阳区四新北路红星美凯龙门口,24,114.240365811999990,30.514680308599999,3602,0.000044714483654,3602,4005,233478900,5114,secondary,鹦鹉大道, ,B,0,0.000000000000000,F,F,城市主干道,6092.375444010000100,628,停车场相关 中餐厅 汽车综合维修 汽车俱乐部 停车场相关 验车场 工厂 科教文化场所 停车场出口 停车场入口 公共停车场 路口名 洗浴推拿场所 停车场出口 临街院门 中餐厅 停车场入口 公共停,396,55,停车场 中餐厅 汽车综合维修 汽车俱乐部 停车场 交通车辆管理 工厂 科教文化场所 停车场 停车场 停车场 交通地名 洗浴推拿场所 停车场 临街院门 中餐厅 停车场 停车场 停车场 宾馆酒店 停车,3,628,-1,396,396,-1
4,1,4,风景区二环线东湖景园路段,10,114.369575369000000,30.584306978000001,5529,0.001542689850460,5529,6268,456583419,5114,secondary, , ,F,0,0.000000000000000,F,F,城市主干道,1187.181641650000100,1508,美容美发店 美容美发店 宿舍 路边停车场 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 中餐厅 专科医院 医疗保健服务场所 建筑物门 三级甲等医院 医疗保健服务场所 自动提款机 公共停车场 急救,1201,175,美容美发店 美容美发店 住宅区 停车场 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 中餐厅 专科医院 医疗保健服务场所 建筑物门 综合医院 医疗保健服务场所 自动提款机 停车,4,1508,6,1201,1201,6
5,1,5,紫阳东路东安路口,10,114.313580754000000,30.529126178700000,3139,0.000006576168712,3139,3508,231522780,5115,tertiary,东安路, ,B,0,0.000000000000000,F,F,城市次干道,166.705176642000000,825,中餐厅 住宿服务相关 住宅小区 美容美发店 中餐厅 彩票彩券销售点 生活服务场所 彩票彩券销售点 商务住宅相关 中餐厅 住宅小区 临街院门 中餐厅 住宅区 洗浴推拿场所 旅馆招待所 住宿服务,569,618,中餐厅 住宿服务相关 住宅区 美容美发店 中餐厅 彩票彩券销售点 生活服务场所 彩票彩券销售点 商务住宅相关 中餐厅 住宅区 临街院门 中餐厅 住宅区 洗浴推拿场所 旅馆招待所 住宿服务相关,5,825,6,569,569,6
6,1,6,建设大道延长线与和谐大道交汇处,20,114.298197348000000,30.645682395100000,5382,0.000113371484590,5382,6070,456043539,5114,secondary,兴业路, ,F,0,0.000000000000000,F,F,城市主干道,2909.966174010000000,2286,中餐厅 楼栋号 楼栋号 楼栋号 楼栋号 楼栋号 汽车维修 楼栋号 快餐厅 汽车养护 汽车养护 汽车养护 楼栋号 楼栋号 公司企业 培训机构 临街院门 住宅小区 汽车服务相关 公共停车场 公共停车场,1793,358,中餐厅 门牌信息 门牌信息 门牌信息 门牌信息 门牌信息 汽车维修 门牌信息 快餐厅 汽车养护/装饰 汽车养护/装饰 汽车养护/装饰 门牌信息 门牌信息 公司企业 培训机构 临街院门 住宅区 汽车,6,2286,-1,1793,1793,-1
7,1,7,硚口区知音桥桥面,10,114.213692069999990,30.578503931800000,2391,0.001929094105490,2391,2715,177261200,5114,secondary,沿河大道, ,F,0,0.000000000000000,F,F,城市主干道,5353.255427500000200,1415,路口名 桥 旅馆招待所 公共厕所 城市快速路出口 交通服务相关 公园 公司企业 羽毛球场 临街院门 交通服务相关 运动场所 政府机关相关 公司企业 公共停车场 港口码头 火锅店 综合体育馆 宿,1115,60,交通地名 交通地名 旅馆招待所 公共厕所 交通地名 交通服务相关 公园广场 公司企业 运动场馆 临街院门 交通服务相关 运动场馆 政府机关 公司企业 停车场 港口码头 中餐厅 运动场馆 住宅区,7,1415,5,1115,1115,5
8,1,8,琴台大道古田桥,20,114.218021111000000,30.570990414600001,1455,0.000010117923130,1455,1622,116184473,5113,primary,琴台大道, ,F,0,0.000000000000000,F,F,城市主干道,3061.950147149999800,1355,停车场相关 住宅小区 临街院门 华夏银行ATM 公司企业 汽车维修 汽车养护 汽车养护 海鲜酒楼 政府及社会团体相关 科教文化场所 运动场所 中国银行ATM 中国工商银行ATM 中国银行 中国银行ATM 驾,1061,212,停车场 住宅区 临街院门 自动提款机 公司企业 汽车维修 汽车养护/装饰 汽车养护/装饰 中餐厅 政府及社会团体相关 科教文化场所 运动场馆 自动提款机 自动提款机 银行 自动提款机 驾校 社会,8,1355,4,1061,1061,4
9,1,9,琴台大道郭茨口邮局门口,20,114.208652834000010,30.571629549099999,5265,0.000604333850611,5265,5908,455183514,5112,trunk,二环线, ,F,0,0.000000000000000,F,F,高架及快速路,279.856325755000000,1353,洗衣店 棋牌室 旅馆招待所 住宅小区 临街院正门 美容美发店 住宅小区 临街院门 乡镇级政府及事业单位 乡镇级政府及事业单位 住宅小区 交通服务相关 交通服务相关 传媒机构 住宅小区 邮局,1059,743,洗衣店 娱乐场所 旅馆招待所 住宅区 临街院门 美容美发店 住宅区 临街院门 政府机关 政府机关 住宅区 交通服务相关 交通服务相关 传媒机构 住宅区 邮局 银行 自动提款机 中介机构 邮局 自动,9,1353,5,1059,1059,5
10,1,10,张之洞路首义路口,5,114.304976147000000,30.537563043599999,3512,0.001030355135590,3512,3898,231810585,5114,secondary,首义路, ,B,0,0.000000000000000,F,F,城市主干道,860.237792255000040,946,乒乓球馆 运动场所 篮球场馆 运动场所 专用停车场 公共停车场 学校 成人教育 成人教育 科研机构 商业贸易 出版社 建筑物正门 建筑物正门 高等院校 高等院校 成人教育 学校 成人教育 高等院,682,674,运动场馆 运动场馆 运动场馆 运动场馆 停车场 停车场 学校 学校 学校 科研机构 公司 传媒机构 建筑物门 建筑物门 学校 学校 学校 学校 学校 学校 学校 学校 学校 物流速递 学校 学校 建筑物门,10,946,2,682,682,2
